Sha,Message,IsBugFix,Reasoning,Source,ParentSha,Parent2Sha,IsMerge,AuthorId,AuthorDateUtc,CommitterId,CommitterDateUtc,Work Items,Total Files,Modified Files,Added Files,Deleted Files,Total Lines,Net Lines,Added Lines,Deleted Lines,Has Added Files,Has Deleted Files,DayOfWeek,Month,Quarter,Year,Hour,TimeOfDay,Is Weekend,Message Length,Word Count
d3b70b520baea548d222b1b9bb77dc76cf8adec7,"An elaborate series of changes that are, incredibly, actually related. (#1563)",True,The use of 'related' and the context suggests a commit addressing issues,mlnet,d8402cdc8b2a6d4c9e205bf77ffdf729f53a2174,,False,15,2018-11-07 17:26:30-05:00,7,2018-11-07 22:26:30,1,43,41,2,0,15502,-6,115,121,True,False,Wednesday,November,4,2018,17,Afternoon,False,78,11
b888db28972307a2792b40692591ec67ac08cff0,Update docs/samples/Microsoft.ML.Samples/Dynamic/ConcatTransform.cs (#1552),True,Refactoring in a sample file suggests addressing existing issues with the code,mlnet,9f1c22efbf2303afe7d2567d3a788affa2a384c0,,False,35,2018-11-08 19:21:08-05:00,26,2018-11-09 00:21:08,1,1,1,0,0,68,0,1,1,False,False,Thursday,November,4,2018,19,Evening,False,75,3
ac71ae4d1dcc2ebd28ec861bf3e0d4cf1fc7fa1f,Fixing typo in ExtractWordEmbeddings (#1573),True,Specific commit addresses a known issue with an identifier,mlnet,b888db28972307a2792b40692591ec67ac08cff0,,False,63,2018-11-09 12:41:48-05:00,43,2018-11-09 17:41:48,1,2,2,0,0,686,0,4,4,False,False,Friday,November,4,2018,12,Morning,False,44,5
622e41ed8d8400f8b0af536ff3c7985ec6f4b58c,Update README to add 32 bit support in 0.7 (#1559),False,Updating documentation does not directly fix a bug but ensures clarity on updates.,mlnet,ac71ae4d1dcc2ebd28ec861bf3e0d4cf1fc7fa1f,,False,8,2018-11-09 12:59:34-05:00,7,2018-11-09 17:59:34,1,1,1,0,0,112,0,3,3,False,False,Friday,November,4,2018,12,Morning,False,50,10
745167bab3b734018b93aac1c97ca3e0c20df9c2,Renaming transforms to transformers Part 1 (#1588),False,A change in naming suggests an update or feature enhancement rather than a bugfix.,mlnet,e803520b84f927df725eda86e950787b7fa56974,,False,43,2018-11-09 17:31:04-05:00,7,2018-11-09 22:31:04,1,25,25,0,0,31415,0,200,200,False,False,Friday,November,4,2018,17,Afternoon,False,50,7
851558d93f509372769ba802e0c81364fa6d55ed,"More trainer extensions, bug fixes and consistency across trainer extensions (#1524)",True,The commit includes 'bug fixes' which indicates implemented solutions for known problems.,mlnet,e9687575c658c1826423f9afbfe2e6d5e4990fec,,False,43,2018-11-10 01:44:11-05:00,7,2018-11-10 06:44:11,1,85,80,1,4,32313,24,757,733,True,True,Saturday,November,4,2018,1,Night,True,84,11
c31c2c192635daeab6c5fbb7306258d7dddbb1f3,Increase time out on build to 45 (#1598),True,Adjusting configuration parameter for a potential issue with build times,mlnet,2a029ea34c77099f740ac88a7c11254e57cd2c77,,False,10,2018-11-10 21:16:28-05:00,7,2018-11-11 02:16:28,1,1,1,0,0,64,0,1,1,False,False,Saturday,November,4,2018,21,Evening,True,40,8
28fb3bbca4d5b8ad5b1f0bc28fef35db4d8232f3,more transform => transformer renaming (#1590),True,The commit message suggests a change likely in response to an issue or bug related to the 'transformer' variable or function being misnamed.,mlnet,c31c2c192635daeab6c5fbb7306258d7dddbb1f3,,False,43,2018-11-12 13:41:17-05:00,7,2018-11-12 18:41:17,1,25,25,0,0,33011,0,222,222,False,False,Monday,November,4,2018,13,Afternoon,False,46,6
c91742899e677d1eb7eee1a32e8fb70c424712ba,Adding CrossValidate to ClusteringContext (#1584),True,The commit #1584 appears to address a specific issue in the code by adding functionality for cross-validation within a clustering context.,mlnet,28fb3bbca4d5b8ad5b1f0bc28fef35db4d8232f3,,False,63,2018-11-12 16:56:54-05:00,10,2018-11-12 21:56:54,1,2,2,0,0,594,39,39,0,False,False,Monday,November,4,2018,16,Afternoon,False,49,5
19d907766a809bf0f91da15b5f10056dc2090942,Add readme to baseline output folder (#1597),False,Placing files in folders may align with organizational standards rather than fixing a bug.,mlnet,0c60374260455e10c7ff7029685612c551c60ca6,,False,42,2018-11-13 03:41:21-05:00,30,2018-11-13 08:41:21,1,1,0,1,0,3,3,3,0,True,False,Tuesday,November,4,2018,3,Night,False,44,7
acfcdcbec20351aa668122e6c6fb499e7e98e940,Schema propagation for custom estimator (#1601),True,The commit title indicates an issue resolution which typically corresponds with a bug fix.,mlnet,19d907766a809bf0f91da15b5f10056dc2090942,,False,53,2018-11-13 10:48:12-05:00,7,2018-11-13 15:48:12,1,3,3,0,0,658,63,76,13,False,False,Tuesday,November,4,2018,10,Morning,False,47,6
52e2ac156a6321037d21258c2912405f8d48b7ec,Printing out test scores in training phase for FastTree (#1571),True,This seems like a fix related to testing functionalities,mlnet,acfcdcbec20351aa668122e6c6fb499e7e98e940,,False,66,2018-11-14 13:53:14-05:00,7,2018-11-14 18:53:14,1,47,47,0,0,10720,244,407,163,False,False,Wednesday,November,4,2018,13,Afternoon,False,63,10
13d59edb7da63195ddf2b8cf8fccbffc70637ce8,Directory separator char in filenames for model zip (#1413),True,Addressing issue numbered #1413 suggests a specific bug fix related to file naming conventions,mlnet,52e2ac156a6321037d21258c2912405f8d48b7ec,,False,61,2018-11-14 15:46:19-05:00,53,2018-11-14 20:46:19,1,1,1,0,0,544,13,29,16,False,False,Wednesday,November,4,2018,15,Afternoon,False,59,9
8ecddf86ad8ba7575981d145f337f67d2fec5009,"Silenced kmeans benchmarks, otherwise it treats console output as errors",True,Adjusting behavior of the tool in response to a problematic default handling of outputs,mlnet,13d59edb7da63195ddf2b8cf8fccbffc70637ce8,,False,26,2018-11-14 15:48:42-05:00,53,2018-11-14 20:48:42,0,1,1,0,0,73,0,1,1,False,False,Wednesday,November,4,2018,15,Afternoon,False,72,10
899ddc434b6c0aca72e86641b55730a1382e23c5,Cookbook update for MLContext and custom mapping (#1612),False,Updating cookbooks typically relates to new documentation or feature enhancements rather than fixing bugs.,mlnet,8ecddf86ad8ba7575981d145f337f67d2fec5009,,False,53,2018-11-14 17:14:49-05:00,10,2018-11-14 22:14:49,1,3,3,0,0,2191,157,167,10,False,False,Wednesday,November,4,2018,17,Afternoon,False,56,8
8a45f37cf87e380a93146d08acac19f215648f9a,Remove lazy parameters for GetRowCount (#1621),True,The commit specifically addresses problem #1621 which implies a bug fix related to 'GetRowCount' function.,mlnet,057c4b97bb4fab09b8f88db2300644660f46aa5d,,False,66,2018-11-15 12:33:05-05:00,7,2018-11-15 17:33:05,1,37,37,0,0,29070,-7,69,76,False,False,Thursday,November,4,2018,12,Morning,False,46,6
cb9effcd091c60fa291aad96cc18c14ddf841b6f,Introduce VBufferEditor and hide VBuffer.Count (#1580),True,This update seems targeted at addressing a specific issue associated with version control buffers.,mlnet,8a45f37cf87e380a93146d08acac19f215648f9a,,False,4,2018-11-15 20:36:32-05:00,7,2018-11-16 01:36:32,1,90,89,1,0,62891,94,1811,1717,True,False,Thursday,November,4,2018,20,Evening,False,54,6
18d7ea306c480013f54674d92431386abccce64f,"new names, per 1318 description. (#1607)",False,The provided statement mentions changes in naming and refers to a pull request identifier without clear context of fixing a bug.,mlnet,cb9effcd091c60fa291aad96cc18c14ddf841b6f,,False,43,2018-11-16 11:28:46-05:00,7,2018-11-16 16:28:46,1,75,75,0,0,59928,-1,715,716,False,False,Friday,November,4,2018,11,Morning,False,40,6
1a9ba9266170aac4e313a9e114bd9e313603edf8,"Suggest a typo in ""Update ROADMAP.md"" (#1414)",True,Correcting a document is related to resolving issues that could arise from misinformation or misunderstandings.,mlnet,d70184bfdb246a199bfb1b1b84a9f0bce84f2c9d,,False,93,2018-11-16 12:04:07-05:00,10,2018-11-16 17:04:07,1,1,1,0,0,96,0,1,1,False,False,Friday,November,4,2018,12,Morning,False,45,7
483ec04a11fbdc056a88bc581d7e5cee9092a936,Custom mapping into cookbook (#1647),True,The reference to 'cookbook' suggests solving an issue previously reported or existing in the codebase,mlnet,1a9ba9266170aac4e313a9e114bd9e313603edf8,,False,53,2018-11-16 13:06:34-05:00,7,2018-11-16 18:06:34,1,2,2,0,0,1687,104,116,12,False,False,Friday,November,4,2018,13,Afternoon,False,36,5
c1e4b9dc2c55f1df269ee6abee6ce308141d8828,Updating the APIs to refer to GAM as GeneralizedAdditiveModels and not ...Methods (#1638),True,The change seems to address an issue with method naming in API documentation,mlnet,483ec04a11fbdc056a88bc581d7e5cee9092a936,,False,36,2018-11-16 14:28:11-05:00,7,2018-11-16 19:28:11,1,1,1,0,0,227,0,2,2,False,False,Friday,November,4,2018,14,Afternoon,False,89,13
e74bc65524430a1e0ed06912bdb5c6c21ef8d158,renaming transforms -> transformers (#1606),False,Renaming variables does not fix bugs,mlnet,c1e4b9dc2c55f1df269ee6abee6ce308141d8828,,False,43,2018-11-16 14:52:28-05:00,7,2018-11-16 19:52:28,1,90,90,0,0,71459,0,533,533,False,False,Friday,November,4,2018,14,Afternoon,False,43,5
31ee76617d9a8427cc58021257d24e1f1bef4eb7,Update Readme.md,False,Updating documentation does not address code bugs directly,mlnet,e74bc65524430a1e0ed06912bdb5c6c21ef8d158,,False,10,2018-11-16 15:58:58-05:00,7,2018-11-16 20:58:58,0,1,1,0,0,113,0,3,3,False,False,Friday,November,4,2018,15,Afternoon,False,16,2
a71cf3f0f864bbef7cb5a578c0ef0fda9ad63d79,"Updating TreeTrainerCatalog to use proper default values for GAMs, as well as better choices for default (non-advanced) parameters. (#1642)",True,"The commit addresses improving defaults and parameter settings, which may suggest enhancement of existing code stability or performance.",mlnet,d885ebc49c1fff04209714bb2757166a6f2681c9,,False,36,2018-11-16 16:31:33-05:00,7,2018-11-16 21:31:33,1,4,4,0,0,2012,16,42,26,False,False,Friday,November,4,2018,16,Afternoon,False,139,19
8b1321cb8185f3055eac2d49adeffb70f7914a40,More OVA Fixes (#1574),True,The commit title suggests fixes for an existing issue in the codebase.,mlnet,a71cf3f0f864bbef7cb5a578c0ef0fda9ad63d79,,False,51,2018-11-16 16:47:56-05:00,7,2018-11-16 21:47:56,1,4,3,1,0,1435,134,157,23,True,False,Friday,November,4,2018,16,Afternoon,False,22,4
31102c27ff705d533463a10229213dff90b0cac2,Moved WhiteningTransform to HalLearners (#1583),True,Renaming or moving files might indicate addressing a known issue with the code base.,mlnet,8b1321cb8185f3055eac2d49adeffb70f7914a40,,False,60,2018-11-16 17:14:13-05:00,7,2018-11-16 22:14:13,1,6,4,2,0,1195,26,129,103,True,False,Friday,November,4,2018,17,Afternoon,False,47,5
bc6d7f463258eb4fc9af5ce55b9b426b626312fe,Convert Ngram transform to estimator/transformer (#1592),True,The commit mentions changing a specific implementation which suggests it is addressing an issue,mlnet,31102c27ff705d533463a10229213dff90b0cac2,,False,26,2018-11-16 18:30:32-05:00,7,2018-11-16 23:30:32,1,24,23,1,0,31432,212,836,624,True,False,Friday,November,4,2018,18,Afternoon,False,56,6
3f43c12b6ed50cd0f07d1d386d8e7df155730127,Convert MissingValueDroppingTransformer to estimator (#1624),True,The commit appears to address a known issue (missing value dropping transformer not being an estimator) in the codebase.,mlnet,bc6d7f463258eb4fc9af5ce55b9b426b626312fe,,False,26,2018-11-16 19:14:15-05:00,7,2018-11-17 00:14:15,1,9,9,0,0,3346,39,268,229,False,False,Friday,November,4,2018,19,Evening,False,60,5
e0906608ca0d37ad0c10ba647e83b45990afde43,"Pass hashBits, invertHash to OneHotHashEncodingEstimator (#1564)",True,The commit message references a change that seems like an attempt to fix related functionality or bug,mlnet,e6e07ed50f7b631f6cc1801411778083ffa6ea7d,,False,61,2018-11-18 18:00:51-05:00,26,2018-11-18 23:00:51,1,3,3,0,0,802,24,29,5,False,False,Sunday,November,4,2018,18,Afternoon,True,64,6
0fe8bafa11e0b759425100db12327569a8c444bb,Complete VBuffer redesign (#1650),True,"Renaming the commit suggests addressing an issue with 'VBuffer', which likely points to a bug or compatibility problem.",mlnet,e0906608ca0d37ad0c10ba647e83b45990afde43,,False,4,2018-11-19 13:11:12-05:00,7,2018-11-19 18:11:12,1,74,72,2,0,57172,188,993,805,True,False,Monday,November,4,2018,13,Afternoon,False,33,4
707aad1114111ccb510b258cf1339644eb289d3e,Split timeseries samples (#1578),True,Splitting time series can be related to correcting data format issues which are commonly bugs.,mlnet,0fe8bafa11e0b759425100db12327569a8c444bb,,False,61,2018-11-19 13:53:24-05:00,40,2018-11-19 18:53:24,1,9,4,4,1,1380,67,394,327,True,True,Monday,November,4,2018,13,Afternoon,False,32,4
7e5c8096acce9d520eb34a16fff3412f24b1f730,Fix StopWordRemoverTransform bugs (#1641),True,The commit title directly references fixing specific known issues in the code,mlnet,707aad1114111ccb510b258cf1339644eb289d3e,,False,22,2018-11-19 14:32:50-05:00,7,2018-11-19 19:32:50,1,7,4,3,0,2425,144,148,4,True,False,Monday,November,4,2018,14,Afternoon,False,41,4
a64c7463c23bc65f105cf4bc50d845bacc9a4b7f,Exposing normalizer parameters  (#1594),True,The issue number suggests it's likely a fix for an existing bug.,mlnet,7e5c8096acce9d520eb34a16fff3412f24b1f730,,False,43,2018-11-19 16:51:34-05:00,7,2018-11-19 21:51:34,1,19,19,0,0,7738,188,322,134,False,False,Monday,November,4,2018,16,Afternoon,False,39,4
6c5677a3fd8d6f2825cc5b14b29b81653ba9d7c0,Legacy predictor model needs to register assemblies in env (#1570),True,The commit title suggests addressing a specific issue with the legacy predictor model's registration process.,mlnet,a64c7463c23bc65f105cf4bc50d845bacc9a4b7f,,False,40,2018-11-19 17:38:17-05:00,7,2018-11-19 22:38:17,1,1,1,0,0,216,0,1,1,False,False,Monday,November,4,2018,17,Afternoon,False,66,10
b72117e5aabbdcec72b5837b00f83ca0afe60597,Update macOS Prerequisites (#1674),True,The title implies addressing an issue that was previously logged,mlnet,6c5677a3fd8d6f2825cc5b14b29b81653ba9d7c0,,False,4,2018-11-19 18:20:11-05:00,7,2018-11-19 23:20:11,1,1,1,0,0,53,1,5,4,False,False,Monday,November,4,2018,18,Afternoon,False,34,4
3ce839eb40d8e15b988ade4fab1775fc5328cf87,Add debug asserts (#1566),True,Debug assertions are typically added to catch bugs during development,mlnet,a1f5ac383138bc0b7853bc16cecc0d9ab106cc11,,False,42,2018-11-19 22:27:47-05:00,53,2018-11-20 03:27:47,1,2,2,0,0,3747,57,57,0,False,False,Monday,November,4,2018,22,Evening,False,25,4
dafa30c5bc04796f40a6d38971f1e5f43f1b1767,Multiple inputs output support for OnnxTransform. (#1586),True,"The commit addresses an issue, suggesting a bug fix",mlnet,3ce839eb40d8e15b988ade4fab1775fc5328cf87,,False,62,2018-11-20 17:17:01-05:00,7,2018-11-20 22:17:01,1,5,5,0,0,1208,189,420,231,False,False,Tuesday,November,4,2018,17,Afternoon,False,57,7
b4eebc5a89838d853aa523e435a6dcf73450fdbc,Adding binary saving and loading to MLContext.Data (#1678),False,Updating functionality for ML models is not inherently fixing a bug.,mlnet,df1c2af3369a5c87ea03df17d75d7e6fa730543f,,False,63,2018-11-21 01:06:16-05:00,7,2018-11-21 06:06:16,1,1,0,1,0,65,65,65,0,True,False,Wednesday,November,4,2018,1,Night,False,58,8
feddc72591674d08ffa09e4d130317b77b50b1ae,Remove parsing perf  bottleneck in WordEmbeddingsTransform (#1599) fixes #1608,True,The commit addresses issue(s) previously identified as #1599 and resolves subsequent related issue #1608.,mlnet,b4eebc5a89838d853aa523e435a6dcf73450fdbc,,False,59,2018-11-21 10:22:58-05:00,7,2018-11-21 15:22:58,2,8,6,2,0,1358,97,165,68,True,False,Wednesday,November,4,2018,10,Morning,False,78,9
ce448707e88989dabaf20056843a06f256be7682,Extend GAM models with methods to return model parameters (#1691),True,The commit addresses existing issues by enhancing functionality,mlnet,42267a8797d06feb76f23a9c7aada6ccb598543f,,False,36,2018-11-21 20:14:03-05:00,7,2018-11-22 01:14:03,1,1,1,0,0,1478,44,52,8,False,False,Wednesday,November,4,2018,20,Evening,False,65,10
78cad14892a8571923b30ff794e1e49bb3e2e2bb,Stop and custom words remover to estimator (#1646),True,The commit message suggests resolving an issue related to stopwords or word removal which could be linked to a bug in text processing.,mlnet,ce448707e88989dabaf20056843a06f256be7682,,False,26,2018-11-26 14:29:39-05:00,7,2018-11-26 19:29:39,1,15,15,0,0,58670,58,658,600,False,False,Monday,November,4,2018,14,Afternoon,False,50,8
08947ef1a8d65e06e1149dff8a6d13c6133c4426,Provide methods to train with validation context and initial predictor (#1709),True,Clear indication of addressing a known issue (#1709) in code,mlnet,02a2f9a04da9c0ec1b0f488149620fbe085014f4,,False,26,2018-11-26 18:43:34-05:00,7,2018-11-26 23:43:34,1,43,42,0,1,15896,70,331,261,False,True,Monday,November,4,2018,18,Afternoon,False,78,11
870cf7ede474beeaadc6893351ecf060623d41ba,Make CpuMath not depending on ML.Core again (#1724),True,The commit message suggests rectifying an issue concerning the dependency between 'CpuMath' and 'ML.Core'.,mlnet,f92c90dfc6d861b0f75eb51ab5f14be65e8cfb88,,False,66,2018-11-27 15:25:17-05:00,7,2018-11-27 20:25:17,1,20,19,1,0,4964,57,82,25,True,False,Tuesday,November,4,2018,15,Afternoon,False,51,8
b006e646e4da2379d0b1305a3da0950678f489dd,Correct pkg asset location (#1742),True,"The issue mentioned is related to code organization which could cause problems, implying a bug fix.",mlnet,481c37774afdbc6f8b1eab9c9f894c83f3ac984d,,False,67,2018-11-27 15:47:29-05:00,10,2018-11-27 20:47:29,1,6,6,0,0,236,40,49,9,False,False,Tuesday,November,4,2018,15,Afternoon,False,34,5
eb41906d90a3649f0b8cadc78282228df805fe0c,Adding a sample for GAM (#1692),True,The reference indicates the addition of code samples as an effort to address or clarify issue #1692,mlnet,b006e646e4da2379d0b1305a3da0950678f489dd,,False,36,2018-11-27 15:52:12-05:00,7,2018-11-27 20:52:12,1,1,0,1,0,128,128,128,0,True,False,Tuesday,November,4,2018,15,Afternoon,False,31,6
49adde14f3c8643bfd0729076a878f9e9da413ea,Fix Dnn Image Featurizer copying twice (#1744),True,The commit address #1744 directly mentions a bug fix,mlnet,eb41906d90a3649f0b8cadc78282228df805fe0c,,False,67,2018-11-27 17:18:44-05:00,7,2018-11-27 22:18:44,1,1,1,0,0,115,1,1,0,False,False,Tuesday,November,4,2018,17,Afternoon,False,46,7
213ef9ed99d810f09f6b99704ca95641e19ecbfb,Add Permutation Feature Importance for Binary Classification (#1735),False,This commit enhances the feature importance metric functionality; it's an addition of a feature rather than fixing a bug.,mlnet,08761e3eba008c366e01afc0495e9105b959688f,,False,36,2018-11-27 18:03:43-05:00,7,2018-11-27 23:03:43,1,3,3,0,0,2164,181,244,63,False,False,Tuesday,November,4,2018,18,Afternoon,False,68,8
e43bba1d945d93b08f5ed12ee3c4f2540fef821f,Updating the XML Docs for Permutation Feature Importance (#1733),True,Updates related to bug fixes or enhancements generally imply addressing a known issue,mlnet,3bf74edf8dce3053c017442b0326a62ab4756049,,False,36,2018-11-27 18:27:12-05:00,7,2018-11-27 23:27:12,1,1,1,0,0,134,27,30,3,False,False,Tuesday,November,4,2018,18,Afternoon,False,64,9
950658dea2bf355f78ef90097b107643a1eab5d3,Adding XML Documentation for Generalized Additive Models (#1731),False,"XML Documentation is related to improving code comprehension and maintainability, not fixing bugs.",mlnet,e43bba1d945d93b08f5ed12ee3c4f2540fef821f,,False,36,2018-11-27 18:33:47-05:00,7,2018-11-27 23:33:47,1,3,3,0,0,1939,25,36,11,False,False,Tuesday,November,4,2018,18,Afternoon,False,64,8
