Label,Message,Source,IsMerge,WorkItems,TotalFiles,ModifiedFiles,AddedFiles,DeletedFiles,TotalLines,NetLines,AddedLines,DeletedLines,HasAddedFiles,HasDeletedFiles,MessageLength,WordCount
False,kql and sql discoverabilty improvements,dotnetinteractive,False,0,8,7,1,0,2143,137,175,38,True,False,39,5
False,add copyright headers,dotnetinteractive,False,0,4,4,0,0,224,16,19,3,False,False,21,3
False,Update dependencies from https://github.com/dotnet/arcade build 20230411.2 (#2908),dotnetinteractive,False,1,3,3,0,0,169,0,6,6,False,False,82,7
False,Update publish-npm.yml,dotnetinteractive,False,0,1,1,0,0,40,0,1,1,False,False,22,2
False,clean up,dotnetinteractive,False,0,1,1,0,0,408,-2,0,2,False,False,8,2
False,Merge pull request #630 from pgovind/DataFrameSample_1,dotnetinteractive,True,1,2,2,0,0,1006,-2,2,4,False,False,54,6
False,add default implementation,dotnetinteractive,False,0,2,1,1,0,172,108,134,26,True,False,26,3
False,add SqlToolsService reference,dotnetinteractive,False,0,1,1,0,0,86,1,1,0,False,False,29,3
True,missing file,dotnetinteractive,False,0,1,1,0,0,54,-1,1,2,False,False,12,2
False,Minor logging changes.,dotnetinteractive,False,0,2,2,0,0,487,-1,2,3,False,False,22,3
False,update api,dotnetinteractive,False,0,1,1,0,0,185,0,1,1,False,False,10,2
False,R: rename,dotnetinteractive,False,0,1,1,0,0,72,0,0,0,False,False,9,2
False,Update README.md,dotnetinteractive,False,0,1,1,0,0,113,0,3,3,False,False,16,2
False,update version,dotnetinteractive,False,0,1,1,0,0,847,0,1,1,False,False,14,2
False,update docs to reflect .NET 5 update,dotnetinteractive,False,0,2,2,0,0,99,0,2,2,False,False,36,7
False,Merge pull request #521 from KevinRansom/tuesday,dotnetinteractive,True,1,5,5,0,0,2022,28,32,4,False,False,48,6
False,"use GetInput as top level function, no variable injection",dotnetinteractive,False,0,8,8,0,0,1367,53,102,49,False,False,57,9
False,Merged PR 1684342: support for utf8 encoding and emoji,dotnetinteractive,False,0,1,1,0,0,1,0,1,1,False,False,54,9
False,Merge pull request #143 from daxian-dbw/exepolicy,dotnetinteractive,True,1,2,2,0,0,373,7,9,2,False,False,49,6
False,Merge pull request #671 from colombod/feature/dotnet-interactive-sln,dotnetinteractive,True,1,5,4,1,0,521,141,247,106,True,False,68,6
False,Update dependencies from https://github.com/dotnet/arcade build 20200715.6 (#650),dotnetinteractive,False,1,3,3,0,0,404,12,15,3,False,False,81,7
False,Merge pull request #375 from colombod/feature/folder_structure,dotnetinteractive,True,1,588,587,1,0,61111,13,61,48,True,False,62,6
False,Merge pull request #572 from colombod/feature/token_for_demo,dotnetinteractive,True,1,1,1,0,0,565,224,245,21,False,False,60,6
False,add instructions for running a dotnet6 kernel,dotnetinteractive,False,0,1,0,1,0,38,38,38,0,True,False,45,7
False,Update dependencies from https://github.com/dotnet/arcade build 20220224.4,dotnetinteractive,False,0,2,2,0,0,25,0,3,3,False,False,74,6
False,sort kernel picker values by name,dotnetinteractive,False,0,1,1,0,0,64,3,4,1,False,False,33,6
False,VisitSubkernelsAndSelf,dotnetinteractive,False,0,2,2,0,0,544,75,75,0,False,False,22,1
False,change document update strategy,dotnetinteractive,False,0,3,3,0,0,751,10,61,51,False,False,31,4
False,rename test,dotnetinteractive,False,0,1,1,0,0,466,0,1,1,False,False,11,2
False,Update release.yml,dotnetinteractive,False,0,1,1,0,0,107,3,3,0,False,False,18,2
False,migrate to net5.0 (#893),dotnetinteractive,False,1,48,48,0,0,4792,96,152,56,False,False,24,4
False,#r nuget output,dotnetinteractive,False,0,3,3,0,0,1888,177,209,32,False,False,15,3
False,More polishing,dotnetinteractive,False,0,1,1,0,0,662,22,48,26,False,False,14,2
False,Merge pull request #237 from jonsequitur/PowerShellKernel.TryGetVariable,dotnetinteractive,True,1,1,1,0,0,235,8,8,0,False,False,72,6
False,publish AspNetCore package (#2224),dotnetinteractive,False,1,1,1,0,0,62,0,1,1,False,False,34,4
False,Update package.json,dotnetinteractive,False,0,1,1,0,0,275,0,1,1,False,False,19,2
False,Update docs/NotebookswithJupyter.md,dotnetinteractive,False,0,1,1,0,0,73,-1,1,2,False,False,35,2
False,Merge pull request #385 from colombod/feature/xplot_nteract,dotnetinteractive,True,1,3,3,0,0,179,17,29,12,False,False,59,6
False,better image,dotnetinteractive,False,0,2,2,0,0,299,-1,8,9,False,False,12,2
False,default port range for jupyter,dotnetinteractive,False,0,2,2,0,0,463,0,2,2,False,False,30,5
False,use lookup table for context,dotnetinteractive,False,0,4,4,0,0,1988,57,92,35,False,False,28,5
False,Update dependencies from https://github.com/dotnet/arcade build 20201216.18,dotnetinteractive,False,0,4,4,0,0,567,0,5,5,False,False,75,6
False,Update README.md,dotnetinteractive,False,0,1,1,0,0,61,1,1,0,False,False,16,2
False,wip,dotnetinteractive,False,0,2,2,0,0,787,38,39,1,False,False,3,1
False,enable #!share on js for vscode,dotnetinteractive,False,0,1,1,0,0,58,2,2,0,False,False,31,6
False,Update readme.md,dotnetinteractive,False,0,1,1,0,0,9,0,2,2,False,False,16,2
False,Add Gitter badge,dotnetinteractive,False,0,1,1,0,0,61,0,1,1,False,False,16,3
False,rename methods,dotnetinteractive,False,0,2,2,0,0,856,0,4,4,False,False,14,2
False,Merge pull request #7 from colombod/feature/merge_from_try,dotnetinteractive,True,1,29,21,8,0,3440,222,628,406,True,False,58,6
False,default to using the jupyter extension,dotnetinteractive,False,0,2,2,0,0,501,7,10,3,False,False,38,6
False,Update dependencies from https://github.com/dotnet/arcade build 20230808.3 (#3128),dotnetinteractive,False,1,2,2,0,0,25,0,5,5,False,False,82,7
False,Merge pull request #635 from jonsequitur/but_CAN_it_cancel_execution,dotnetinteractive,True,1,1,1,0,0,1287,-1,6,7,False,False,68,6
False,Configure LUT's shadow copying to include all outputs for the app project.,dotnetinteractive,False,0,1,1,0,0,201,4,4,0,False,False,74,12
False,update typescript code for message contract changes,dotnetinteractive,False,0,2,2,0,0,662,1,2,1,False,False,51,7
False,refactor `SubmitCode` handling to use IKernelCommandHandler<> interface (#527),dotnetinteractive,False,1,22,20,2,0,3652,57,107,50,True,False,78,8
False,Merge pull request #640 from talanc/patch-3,dotnetinteractive,True,1,1,1,0,0,45,0,1,1,False,False,43,6
False,update System.CommandLine to 2.0.0-beta1.21308.1,dotnetinteractive,False,0,4,4,0,0,275,0,4,4,False,False,48,4
False,skip tests,dotnetinteractive,False,0,1,1,0,0,953,1,5,4,False,False,10,2
False,Update dependencies from https://github.com/dotnet/arcade build 20200428.4,dotnetinteractive,False,0,7,6,1,0,1574,121,137,16,True,False,74,6
False,make preload script a module to comply with vscode changes (#2590),dotnetinteractive,False,1,8,7,1,0,2294,52,73,21,True,False,66,11
False,compute cursor start for replacement,dotnetinteractive,False,0,1,1,0,0,238,1,2,1,False,False,36,5
False,Update CreateBinder.md,dotnetinteractive,False,0,1,1,0,0,63,-2,0,2,False,False,22,2
False,update HttpRequestKernel to use new parser,dotnetinteractive,False,1,22,22,0,0,3136,1,464,463,False,False,96,13
False,modifiy dotnet-interactive js to expose.configureRequire intest of getJsLoader,dotnetinteractive,False,0,3,3,0,0,264,9,13,4,False,False,78,8
False,Update readme.md,dotnetinteractive,False,0,1,1,0,0,9,0,1,1,False,False,16,2
False,find the type name,dotnetinteractive,False,0,1,1,0,0,209,2,6,4,False,False,18,4
False,R: a few renames,dotnetinteractive,False,0,5,5,0,0,1024,2,11,9,False,False,16,4
False,pr feedback,dotnetinteractive,False,0,9,9,0,0,2383,-1,8,9,False,False,11,2
False,write to all child,dotnetinteractive,False,0,1,1,0,0,117,3,4,1,False,False,18,4
False,strict mock,dotnetinteractive,False,0,1,1,0,0,70,7,8,1,False,False,11,2
False,simplify post mock,dotnetinteractive,False,0,1,1,0,0,67,-2,5,7,False,False,18,3
False,update package lock,dotnetinteractive,False,0,1,1,0,0,9765,0,1,1,False,False,19,3
False,add script-based extension sample and documentation,dotnetinteractive,False,0,7,3,4,0,287,109,119,10,True,False,51,6
False,kernelinfo carries information on kernel type (#2716),dotnetinteractive,False,1,19,19,0,0,7232,49,234,185,False,False,53,7
False,Merge pull request #1640 from brettfo/lock-tool-version,dotnetinteractive,False,1,2,2,0,0,964,0,2,2,False,False,55,6
False,refactoring buidler setup,dotnetinteractive,False,0,8,7,1,0,1135,51,135,84,True,False,25,3
False,support for random order,dotnetinteractive,False,0,2,0,2,0,47,47,47,0,True,False,24,4
False,add header,dotnetinteractive,False,0,1,1,0,0,38,3,4,1,False,False,10,2
False,Update release.yml,dotnetinteractive,False,0,1,1,0,0,84,0,1,1,False,False,18,2
False,pdb settings,dotnetinteractive,False,0,1,1,0,0,24,1,1,0,False,False,12,2
False,making Brett happy,dotnetinteractive,False,0,1,1,0,0,1111,0,1,1,False,False,18,3
False,Update src/Microsoft.DotNet.Interactive.Jupyter/Microsoft.DotNet.Interactive.Jupyter.csproj,dotnetinteractive,False,0,1,1,0,0,59,0,1,1,False,False,91,2
False,R:rename,dotnetinteractive,False,0,1,1,0,0,134,0,0,0,False,False,8,1
False,move all vscode-specific files to own directory,dotnetinteractive,False,0,5,5,0,0,14554,6,45,39,False,False,47,7
False,Update README.md,dotnetinteractive,False,0,1,1,0,0,61,0,2,2,False,False,16,2
False,rename functions,dotnetinteractive,False,0,1,1,0,0,138,0,4,4,False,False,16,2
False,use parsed token,dotnetinteractive,False,0,2,2,0,0,608,6,19,13,False,False,16,3
False,testing frameworks,dotnetinteractive,False,0,12,12,0,0,518,12,25,13,False,False,18,2
False,only for him,dotnetinteractive,False,0,1,1,0,0,85,0,1,1,False,False,12,3
False,Update readme.md,dotnetinteractive,False,0,1,1,0,0,29,-1,1,2,False,False,16,2
False,serialize tabular data resource,dotnetinteractive,False,0,2,2,0,0,66,3,4,1,False,False,31,4
True,fix deprecation warning,dotnetinteractive,False,0,2,2,0,0,76,0,2,2,False,False,23,3
False,Update setup-raspbian-jupyter.sh,dotnetinteractive,False,0,1,1,0,0,40,1,2,1,False,False,32,2
False,Use housingPath instead of literal string,dotnetinteractive,False,0,1,1,0,0,342,0,1,1,False,False,41,6
False,improve parsing and diagnostics for HTTP version node (#3153),dotnetinteractive,False,1,5,5,0,0,1281,20,67,47,False,False,61,9
True,add better detection for bad symlinks,dotnetinteractive,False,0,3,3,0,0,230,23,23,0,False,False,37,6
False,expand displayAs to use multiple mimetypes,dotnetinteractive,False,0,2,2,0,0,131,5,12,7,False,False,42,6
False,api contract update,dotnetinteractive,False,0,1,1,0,0,949,1,1,0,False,False,19,3
False,Bump tough-cookie from 4.0.0 to 4.1.3 in /src/polyglot-notebooks,dotnetinteractive,False,0,1,1,0,0,6774,51,65,14,False,False,64,8
False,variable sharing tests,dotnetinteractive,False,0,1,1,0,0,577,1,6,5,False,False,22,3
False,update tool version (#524),dotnetinteractive,False,1,1,1,0,0,245,0,1,1,False,False,26,4
False,add cell execution count,dotnetinteractive,False,0,5,5,0,0,1733,28,47,19,False,False,24,4
False,add support for clearing variables from HttpKernel (#3467),dotnetinteractive,False,1,7,5,2,0,3201,71,80,9,True,False,58,8
True,null check,dotnetinteractive,False,0,1,1,0,0,312,0,1,1,False,False,10,2
False,Merge pull request #151 from KexyBiscuit/patch-1,dotnetinteractive,True,1,1,1,0,0,52,0,5,5,False,False,48,6
True,fix vulnerability,dotnetinteractive,False,0,2,2,0,0,2687,17,117,100,False,False,17,2
False,add sql grammar and magic command switcher,dotnetinteractive,False,0,6,4,2,0,892,131,143,12,True,False,42,7
True,CSS table style fix,dotnetinteractive,False,0,2,2,0,0,673,4,10,6,False,False,19,4
False,broaden preferred kernel detection (#1217),dotnetinteractive,False,1,2,2,0,0,600,31,33,2,False,False,42,5
True,add logging for exception,dotnetinteractive,False,0,3,3,0,0,835,0,12,12,False,False,25,4
True,fix variable store in data kernel,dotnetinteractive,False,0,3,3,0,0,874,36,39,3,False,False,33,6
True,make sure strings are formatted to valid HTML and JSON,dotnetinteractive,False,0,17,17,0,0,4707,99,158,59,False,False,54,10
False,remove unused namespaces,dotnetinteractive,False,0,1,1,0,0,43,-1,0,1,False,False,24,3
True,fall back to publish v1 (#918),dotnetinteractive,False,1,2,2,0,0,343,2,4,2,False,False,30,6
False,lock workspace,dotnetinteractive,False,0,1,1,0,0,291,12,33,21,False,False,14,2
False,change publishing script to use allow list,dotnetinteractive,False,0,1,1,0,0,96,28,35,7,False,False,42,7
True,Replace RestoreSources with #i (#162),dotnetinteractive,False,1,10,10,0,0,2207,50,257,207,False,False,37,5
False,make import extension use current command as parent.,dotnetinteractive,False,0,5,5,0,0,2503,62,71,9,False,False,52,8
False,change assertion,dotnetinteractive,False,0,1,1,0,0,212,0,1,1,False,False,16,2
False,Merge pull request #2922 from ocallesp/embed-resources-to-dotnet-interactive-visualstudio,dotnetinteractive,True,1,1,1,0,0,49,6,6,0,False,False,89,6
True,fix sql test,dotnetinteractive,False,0,1,1,0,0,148,1,4,3,False,False,12,3
True,fix code and ncrunch support,dotnetinteractive,False,0,3,3,0,0,264,-3,21,24,False,False,28,5
False,Update SqlToolsService to 157,dotnetinteractive,False,0,6,6,0,0,1444,6,50,44,False,False,29,4
True,handle array type in tabular data resource mapping,dotnetinteractive,False,0,1,1,0,0,161,1,1,0,False,False,50,8
True,magic command parsing and error improvements (#542),dotnetinteractive,False,1,21,16,5,0,3669,207,345,138,True,False,51,7
True,"ensure that there are no ""nulls"" in the signature calculation",dotnetinteractive,False,0,7,7,0,0,88,3,11,8,False,False,61,10
True,don't generate sbom for docker builds (#1912),dotnetinteractive,False,1,1,1,0,0,387,3,3,0,False,False,45,7
True,fix contracts,dotnetinteractive,False,0,6,6,0,0,1075,-5,5,10,False,False,13,2
False,Update CredScanSuppressions.json,dotnetinteractive,False,0,1,1,0,0,9,0,3,3,False,False,32,2
True,fix test,dotnetinteractive,False,0,1,1,0,0,417,0,2,2,False,False,8,2
True,fix tunnel,dotnetinteractive,False,0,2,2,0,0,543,11,24,13,False,False,10,2
False,allow opening notebooks via uris (#1254),dotnetinteractive,False,1,4,4,0,0,1292,32,39,7,False,False,40,6
True,Merge pull request #642 from jonsequitur/bug-fixes,dotnetinteractive,True,1,3,3,0,0,587,31,41,10,False,False,50,6
True,Don't set HttpRequestMessage.Content when there is no body.,dotnetinteractive,False,0,5,5,0,0,1571,79,125,46,False,False,59,8
True,fix handling of completions that rely on nested commands (#2727),dotnetinteractive,False,1,3,3,0,0,1569,22,36,14,False,False,64,10
True,fix plot version,dotnetinteractive,False,0,11,11,0,0,4885,0,65,65,False,False,16,3
True,Merge pull request #631 from jonsequitur/fix-627,dotnetinteractive,True,1,11,11,0,0,534,0,11,11,False,False,48,6
True,fix help error,dotnetinteractive,False,0,1,1,0,0,127,1,2,1,False,False,14,3
True,Check for embedded expressions in Url Node (#3345),dotnetinteractive,False,1,2,2,0,0,1826,29,31,2,False,False,50,8
True,ensure aspnet.webapi package exists (#266),dotnetinteractive,False,1,1,1,0,0,59,1,2,1,False,False,42,5
True,fix logging behaviour,dotnetinteractive,False,0,2,2,0,0,702,-2,5,7,False,False,21,3
True,address nullable errors,dotnetinteractive,False,0,1,1,0,0,41,0,1,1,False,False,23,3
False,Update Chart Display methods,dotnetinteractive,False,0,1,1,0,0,342,0,6,6,False,False,28,4
True,fix devcontainer dotnet image tag,dotnetinteractive,False,0,2,2,0,0,92,0,3,3,False,False,33,5
False,don't specify MIME type directly in SQL kernels,dotnetinteractive,False,0,3,3,0,0,519,5,13,8,False,False,47,8
True,fix bug with getting help when not in conda env,dotnetinteractive,False,0,1,1,0,0,115,9,18,9,False,False,47,10
False,Remove not needed code,dotnetinteractive,False,0,1,1,0,0,54,-5,0,5,False,False,22,4
True,fix typo,dotnetinteractive,False,0,1,1,0,0,394,0,1,1,False,False,8,2
True,throttle commands at the kernel host level (#2815),dotnetinteractive,False,1,1,1,0,0,193,16,21,5,False,False,50,8
True,fix signature,dotnetinteractive,False,0,1,1,0,0,108,1,1,0,False,False,13,2
True,improve clock rendering,dotnetinteractive,False,0,1,1,0,0,155,-2,1,3,False,False,23,3
False,update publish verification script,dotnetinteractive,False,0,1,1,0,0,51,0,1,1,False,False,34,4
False,"update telemetry to use environment variable in tests, better naming",dotnetinteractive,False,0,2,2,0,0,253,2,11,9,False,False,68,10
True,Fixes,dotnetinteractive,False,0,3,3,0,0,869,20,31,11,False,False,5,1
True,fix ts-lint error,dotnetinteractive,False,0,1,1,0,0,127,0,1,1,False,False,17,3
True,report notebook URL fetch errors (#1888),dotnetinteractive,False,1,1,1,0,0,379,10,10,0,False,False,40,6
False,always use file extension when opening a notebook,dotnetinteractive,False,0,4,4,0,0,4190,8,29,21,False,False,49,8
True,Merge pull request #610 from TIHan/telemetry-fix2,dotnetinteractive,True,1,1,1,0,0,190,23,25,2,False,False,49,6
True,require dotnet sdk to already be on the machine (#1106),dotnetinteractive,False,1,7,6,0,1,1365,31,101,70,False,True,55,10
True,test to keep interactive host GetInputAsync consistent,dotnetinteractive,False,0,1,0,1,0,41,41,41,0,True,False,54,7
True,Merge pull request #2234 from jonsequitur/no-share-by-ref-when-mime-type-specified,dotnetinteractive,True,1,2,2,0,0,1051,26,32,6,False,False,82,6
False,implement `%whos` magic command for F# (#730),dotnetinteractive,False,1,9,8,1,0,1513,125,201,76,True,False,45,7
False,make FrontendEnvironment a KernelBase property,dotnetinteractive,False,0,17,17,0,0,2825,-2,97,99,False,False,46,5
True,Update bug_report.md,dotnetinteractive,False,0,1,1,0,0,41,0,1,1,False,False,20,2
True,Revert quotes change.,dotnetinteractive,False,0,1,1,0,0,429,0,1,1,False,False,21,3
True,fix case,dotnetinteractive,False,0,1,1,0,0,293,0,2,2,False,False,8,2
False,lock version for tests,dotnetinteractive,False,0,1,1,0,0,952,-1,4,5,False,False,22,4
True,remove stream reset from test,dotnetinteractive,False,0,1,1,0,0,57,-1,3,4,False,False,29,5
True,fix tests,dotnetinteractive,False,0,2,2,0,0,317,17,25,8,False,False,9,2
True,errors,dotnetinteractive,False,0,1,1,0,0,215,0,1,1,False,False,6,1
False,update api contract,dotnetinteractive,False,0,1,1,0,0,955,1,2,1,False,False,19,3
False,Bump url-parse in /src/Microsoft.DotNet.Interactive.Js,dotnetinteractive,False,0,1,1,0,0,2596,0,3,3,False,False,54,4
True,Merge pull request #395 from colombod/feature/fix_build_and_install,dotnetinteractive,True,1,1,1,0,0,25,0,3,3,False,False,67,6
False,"deferred command have token starting with label ""deferredCommand::""",dotnetinteractive,False,0,4,4,0,0,1544,1,8,7,False,False,67,8
False,delete unused fields,dotnetinteractive,False,0,2,2,0,0,476,3,28,25,False,False,20,3
True,Add missing command registration to fix deadlock. (#3471),dotnetinteractive,False,1,1,1,0,0,339,6,6,0,False,False,57,8
True,Temporarily remove parent-pid launch argument for Kusto,dotnetinteractive,False,0,1,1,0,0,84,0,1,1,False,False,55,7
False,Combinatorial testing for diagnostics (#3151),dotnetinteractive,False,1,4,4,0,0,1199,151,209,58,False,False,45,5
False,cache variable explorer rows,dotnetinteractive,False,0,3,3,0,0,785,12,86,74,False,False,28,4
True,fixes + tests,dotnetinteractive,False,0,9,7,2,0,1604,214,259,45,True,False,13,3
False,Remove unnecessary linq select,dotnetinteractive,False,0,1,1,0,0,418,0,1,1,False,False,30,4
True,add timeout,dotnetinteractive,False,0,1,1,0,0,124,10,13,3,False,False,11,2
True,Merge pull request #1670 from colombod/fix_telemetry,dotnetinteractive,True,1,3,3,0,0,1371,30,32,2,False,False,52,6
False,fail the input gesture if the user hits <ESC>,dotnetinteractive,False,0,3,3,0,0,554,8,21,13,False,False,45,9
True,dispose of all interactive processes on extension exit (#1962),dotnetinteractive,False,1,4,4,0,0,631,9,21,12,False,False,62,9
False,Update INTERNAL.md,dotnetinteractive,False,0,1,1,0,0,56,-2,0,2,False,False,18,2
False,remove optional port,dotnetinteractive,False,0,2,2,0,0,173,-8,6,14,False,False,20,3
False,use resolved uri query parameters for notebook type (#1711),dotnetinteractive,False,1,5,5,0,0,1101,31,67,36,False,False,59,9
False,address comment  to remove BlobFeed override,dotnetinteractive,False,0,1,1,0,0,406,0,1,1,False,False,44,6
True,use more specific exception,dotnetinteractive,False,0,8,7,1,0,571,32,44,12,True,False,27,4
False,Update LanguageKernelExtensionLoadingTests.cs,dotnetinteractive,False,0,1,1,0,0,121,0,7,7,False,False,45,2
True,Merge pull request #332 from colombod/feature/skip_js_in_vs_build,dotnetinteractive,True,1,1,1,0,0,217,0,4,4,False,False,65,6
True,fix #737 (#749),dotnetinteractive,False,2,5,5,0,0,2196,38,56,18,False,False,15,3
True,fix test,dotnetinteractive,False,0,1,1,0,0,965,1,3,2,False,False,8,2
True,fix find kernel on composite kernel (#2400),dotnetinteractive,False,1,5,5,0,0,1030,50,52,2,False,False,43,7
False,improve Type formatting for summary formatter,dotnetinteractive,False,0,3,3,0,0,1007,35,40,5,False,False,45,6
True,us gc memory pressure,dotnetinteractive,False,0,4,2,2,0,581,34,42,8,True,False,21,4
True,fix tool version,dotnetinteractive,False,0,2,2,0,0,1700,0,2,2,False,False,16,3
True,remove bug,dotnetinteractive,False,0,1,1,0,0,81,-1,0,1,False,False,10,2
False,fire and forget for error notification,dotnetinteractive,False,0,1,1,0,0,218,0,1,1,False,False,38,6
True,make the test more actionable on error,dotnetinteractive,False,0,1,1,0,0,626,4,4,0,False,False,38,7
True,remove #! from #!share --from completions,dotnetinteractive,False,0,2,2,0,0,593,0,2,2,False,False,41,6
True,fix a #!value bug when --from-file submission includes extra lines,dotnetinteractive,False,0,2,2,0,0,398,7,20,13,False,False,66,10
True,reset vewbiew on kernel restart,dotnetinteractive,False,0,8,8,0,0,1992,161,167,6,False,False,31,5
False,cache interactive client for vscode (#1130),dotnetinteractive,False,1,3,3,0,0,828,0,3,3,False,False,43,6
