Sha,Message,IsBugFix,Message,Response
cff5d404605f37a8f614520380c18102322aa912,"Create .github/FUNDING.yml",False,".github/FUNDING.yml is related to GitHub marketplace setup and not about fixing a bug.","{""IsBugFix"": false, ""Reason"": "".github/FUNDING.yml is related to GitHub marketplace setup and not about fixing a bug.""}"
32b421c8c2c6bd947e2788d02da7b3e1791b1a59,"Update README.md",False,"Updating documentation does not directly relate to fixing bugs","{""IsBugFix"": false, ""Reason"": ""Updating documentation does not directly relate to fixing bugs""}"
9baa8bc6d48c57509ad4b63545658587e086f136,"Merge branch 'FileSupport' into main",,"{    ""IsBugFix"": undetermined,    ""Reason"": ""The commit message alone does not provide enough context to determine if a bug fix is involved.""  }","{    ""IsBugFix"": undetermined,    ""Reason"": ""The commit message alone does not provide enough context to determine if a bug fix is involved.""  }"
47be8ad568fc6f57175ec3a8f61f94f5bd4730ab,"Renamed GitStractor.CLI to gitstract for a better command-line name",False,"Naming convention changes do not fix bugs","{""IsBugFix"": false, ""Reason"": ""Naming convention changes do not fix bugs""}"
69971287fc10168322e398ba4cdc73c9549c7579,"NuGet Package Support",False,"Adding package management is for convenience and does not necessarily fix bugs","{""IsBugFix"": false, ""Reason"": ""Adding package management is for convenience and does not necessarily fix bugs""}"
9d4b7a735e4bb069a788a31fc5ed11261b41f42c,"Fixed bad CSV value, added FileCommits.csv",True,"The commit is related to resolving an issue with 'bad CSV value'.","{""IsBugFix"": true, ""Reason"": ""The commit is related to resolving an issue with 'bad CSV value'.""}"
5683448b251574699565608082aeb4f6cd4b4af0,"Early data visualization",False,"The commit title suggests adding functionality rather than fixing an issue.","{""IsBugFix"": false, ""Reason"": ""The commit title suggests adding functionality rather than fixing an issue.""}"
4c7fd6e6ddb1eb5df6a8a50810a1fc5942e42d75,"Doing a decent bit of data visualization with what I have presently",False,"Visualization is usually about improving UX/UI rather than bugfixing.","{""IsBugFix"": false, ""Reason"": ""Visualization is usually about improving UX/UI rather than bugfixing.""}"
910706c32e6e39a2a0c969bdef632b16d092a2b4,"Renamed notebook",False,"The act of renaming is typically an interface or cosmetic change, which does not usually indicate a bug fix.","{""IsBugFix"": false, ""Reason"": ""The act of renaming is typically an interface or cosmetic change, which does not usually indicate a bug fix.""}"
04880090d15cf8902f8093403bbf824c94938d23,"Revised readme since the project is now technically usable.",True,"The context suggests fixing issues for technical use","{""IsBugFix"": true, ""Reason"": ""The context suggests fixing issues for technical use""}"
14ffc98d3cdeea685a6457a789d80cde8980dfa0,"Aggregate and author data improvements in Jupyter Notebook",False,"This statement describes enhancing the performance or functionality of an existing feature rather than fixing a bug.","{    ""IsBugFix"": false,    ""Reason"": ""This statement describes enhancing the performance or functionality of an existing feature rather than fixing a bug.""  }"
da2886f9162a93330a39840dad305ba7c735a530,"Issue #4, Issue #2, Issue #3: Tracking aggregate data per commit / file",True,"The issues listed relate to tracking problems which need fixing","{""IsBugFix"": true, ""Reason"": ""The issues listed relate to tracking problems which need fixing""}"
681c30b292b237a1eb0261763eb6b8d6f65ba611,"v0.1.1 Release",,"{""IsBugFix"": true or false based on the context provided by additional data. If no specific data is given apart from ""v0.1.1 Release"", default to a boolean value with justification, considering general practices in versioning. Version numbers like 'v0.1.1' typically indicate bug fixes and minor updates rather than major feature changes unless specified otherwise.  ""Reason"": {A concise statement based on the understanding of semantic versioning and its common usage regarding bug fixes.}","{""IsBugFix"": true or false based on the context provided by additional data. If no specific data is given apart from ""v0.1.1 Release"", default to a boolean value with justification, considering general practices in versioning. Version numbers like 'v0.1.1' typically indicate bug fixes and minor updates rather than major feature changes unless specified otherwise.  ""Reason"": {A concise statement based on the understanding of semantic versioning and its common usage regarding bug fixes.}"
9e6f2be9e063c011e7ec48974b328cf989983445,"Fixed CommiterDate column in Notebook",True,"The commit message indicates addressing an issue with the 'CommitterDate' column.","{     ""IsBugFix"": true,     ""Reason"": ""The commit message indicates addressing an issue with the 'CommitterDate' column."" }"
6b952eeaa22b25c245654ff9bced33b6bf599dc3,"Added link to notebook",False,"Linking to another resource is typically considered functionality enhancement rather than a fix of an existing bug.","{     ""IsBugFix"": false,     ""Reason"": ""Linking to another resource is typically considered functionality enhancement rather than a fix of an existing bug."" }"
91bb44f6fdf311f3d2b1d414e64d4825e848811d,"Beginning inclusion of PowerBI Prototype",False,"Incorporating prototype typically indicates development or testing phases rather than fixing bugs.","{    ""IsBugFix"": false,    ""Reason"": ""Incorporating prototype typically indicates development or testing phases rather than fixing bugs.""  }"
8b39fc12b6ee1e7f244d225751d7d74c1d95257b,"Data is now displayed in BI",False,"Displaying data doesn't necessarily imply fixing a bug; it could be related to feature enhancement.","{    ""IsBugFix"": false,    ""Reason"": ""Displaying data doesn't necessarily imply fixing a bug; it could be related to feature enhancement.""  }"
aa642aeeede022946f1e9bdc86e01e9ac4cd66d8,"Cleaned up visuals",False,"Improving the look-and-feel is usually not related to fixing bugs unless explicitly stated.","{""IsBugFix"": false, ""Reason"": ""Improving the look-and-feel is usually not related to fixing bugs unless explicitly stated.""}"
0c1830f7b49efa859e132dc3ab8bd32443e7c097,"Added Power BI instructions and template",False,"The statement refers to adding new functionality related to Power BI rather than resolving a bug.","{  	""IsBugFix"": false,  	""Reason"": ""The statement refers to adding new functionality related to Power BI rather than resolving a bug.""  }"
1775a4d6b7782d09f879961dfaa6d7b0f3ca24fe,"Issue #5: Better modal author display",True,"The commit specifically mentions addressing an issue","{""IsBugFix"": true, ""Reason"": ""The commit specifically mentions addressing an issue""}"
7ed462ff2489ed11144270127b55a936627099bf,"Merge branch 'GitstractorDesktop' into main",False,"Merging branches can include both new features and bugfixes; no specific indication of a bug fix","{""IsBugFix"": false, ""Reason"": ""Merging branches can include both new features and bugfixes; no specific indication of a bug fix""}"
dfaa0c6e4c732b18d94681766511ed66032d8d16,"Got GitStractor ready for Momentum",False,"The commit message describes readiness for an event or usage milestone, not a bug fix.","{""IsBugFix"": false, ""Reason"": ""The commit message describes readiness for an event or usage milestone, not a bug fix.""}"
b08008f0869739ad206b7e95380d7e8ac2fd0cd7,"Merge remote-tracking branch 'origin/dependabot/nuget/GitStractor/GitStractor-Extract/Microsoft.NET.Build.Containers-7.0.307' into main",False,"Merge commit seems to be integrating a branch with likely new features or updates, not explicitly indicating a bug fix.","{""IsBugFix"": false, ""Reason"": ""Merge commit seems to be integrating a branch with likely new features or updates, not explicitly indicating a bug fix.""}"
9bb77d147ce84965c49bc860a4e7cb1f23eaa69c,"A few final prep tasks",False,"Prep work isn't specifically about fixing bugs","{""IsBugFix"": false, ""Reason"": ""Prep work isn't specifically about fixing bugs""}"
967349c1288f6b8e636b2ec2715b6fb652423986,".NET 8 Targets",False,"Targeting a platform version is infrastructure-related and does not fix bugs","{""IsBugFix"": false, ""Reason"": ""Targeting a platform version is infrastructure-related and does not fix bugs""}"
212ff7b956324781baf7939c76bacba9cd38dfa1,"Working on a Spectre implementation",False,"Spectre is a hardware security vulnerability; the commit seems to be related to mitigation efforts but does not indicate a specific bug fix.","{""IsBugFix"": false, ""Reason"": ""Spectre is a hardware security vulnerability; the commit seems to be related to mitigation efforts but does not indicate a specific bug fix.""}"
9172d331d3cc1c90a7296df57166d275ec8eaacd,"Fixed linux extraction bug when directory doesn't exist",True,"Directly mentions fixing an issue which indicates a bug was present in the code.","{""IsBugFix"": true, ""Reason"": ""Directly mentions fixing an issue which indicates a bug was present in the code.""}"
52a8f2bce57b12decdf7157c920e4dd9ae99e70f,"Displaying progress",False,"Displays progress likely refers to development or UI enhancements rather than fixing a bug.","{     ""IsBugFix"": false,     ""Reason"": ""Displays progress likely refers to development or UI enhancements rather than fixing a bug.""  }"
